Time (Sec);S1;S2;S4;S6;S8;
29.326666666666814;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.426666666666815;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.526666666666816;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.626666666666818;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.726666666666816;19160.0;19159.99739999997;19159.99739999997;19159.98700879997;19159.99739999997;
29.826666666666817;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
29.92666666666682;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.000000000000167;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.12666666666682;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.226666666666823;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.326666666666824;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.426666666666826;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.526666666666827;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.62666666666683;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.72666666666683;19160.0;19159.99729999997;19159.99729999997;19159.98700879997;19159.99729999997;
30.826666666666828;19160.0;19159.99729999997;19159.99729999997;19159.98690879997;19159.99729999997;
30.92666666666683;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.02666666666683;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.126666666666832;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.226666666666834;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.326666666666835;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.426666666666836;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.526666666666838;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.62666666666684;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.72666666666684;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.826666666666842;19160.0;19159.99719999997;19159.99719999997;19159.98690879997;19159.99719999997;
31.92666666666684;19160.0;19159.99719999997;19159.99719999997;19159.986808799968;19159.99719999997;
32.02666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.126666666666836;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.22666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.32666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.42666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.52666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.62666666666684;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.726666666666844;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.826666666666846;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
32.92666666666685;19160.0;19159.997099999968;19159.997099999968;19159.986808799968;19159.997099999968;
33.02666666666685;19160.0;19159.997099999968;19159.997099999968;19159.986708799966;19159.997099999968;
33.12666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.22666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.32666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.42666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.52666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.62666666666684;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.726666666666844;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.826666666666846;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
33.92666666666685;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
34.02666666666685;19160.0;19159.996999999967;19159.996999999967;19159.986708799966;19159.996999999967;
34.12666666666685;19160.0;19159.996999999967;19159.996999999967;19159.986608799965;19159.996999999967;
34.226666666666844;19160.0;19159.996899999966;19159.996899999966;19159.986608799965;19159.996899999966;
34.32666666666684;19160.0;19159.996899999966;19159.996899999966;19159.986608799965;19159.996899999966;
